127.0.0.1 - - [27/May/2018:04:46:16 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:17 +0900] "GET /dotstore_mysql/WEB-INF/jsp/tiles/index.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/ HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/style/petstore.css HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/images/sign-in.gif HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/images/separator.gif HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/images/logo-topbar.gif HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/images/cart.gif HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/images/spring-logo.png HTTP/1.1" 200 9863
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/images/help.gif HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/images/mybatis-logo.png HTTP/1.1" 200 13955
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/images/search.gif HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:23 +0900] "GET /dotstore_mysql/images/bkg-topbar.gif HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:38 +0900] "GET /dotstore_mysql/shop/index.do HTTP/1.1" 200 6267
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/sm_cats.gif HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/sm_birds.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/sm_reptiles.gif HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/fish_icon.gif HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/sm_dogs.gif HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/dogs_icon.gif HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/sm_fish.gif HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/cats_icon.gif HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/splash.gif HTTP/1.1" 200 36097
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/birds_icon.gif HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:39 +0900] "GET /dotstore_mysql/images/reptiles_icon.gif HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:40 +0900] "GET /dotstore_mysql/shop/index.do;jsessionid=4E1C0B08E0B325B2C451F3CB487B8171 HTTP/1.1" 200 5651
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:43 +0900] "GET /dotstore_mysql/shop/index.do HTTP/1.1" 200 5651
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:44 +0900] "GET /dotstore_mysql/shop/index.do HTTP/1.1" 200 5651
0:0:0:0:0:0:0:1 - - [27/May/2018:04:46:45 +0900] "GET /dotstore_mysql/shop/index.do HTTP/1.1" 200 5651
0:0:0:0:0:0:0:1 - - [27/May/2018:04:48:03 +0900] "GET /dotstore_mysql/WEB-INF/jsp/msg/MsgWrite.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/May/2018:04:48:13 +0900] "GET /dotstore_mysql HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2018:04:48:13 +0900] "GET /dotstore_mysql/ HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [27/May/2018:04:48:15 +0900] "GET /dotstore_mysql/dotstore_mysql/WEB-INF/jsp/msg/MsgWrite.jsp HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [27/May/2018:04:48:21 +0900] "GET /dotstore_mysql/WEB-INF/jsp/msg/MsgWrite.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/May/2018:04:48:40 +0900] "GET /dotstore_mysql/WEB-INF/jsp/msg/index.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/May/2018:04:48:45 +0900] "GET /dotstore_mysql/WEB-INF/jsp/msg/Error.jsp HTTP/1.1" 404 992
